cust_id,full_name,gender,age,city,state,join_date,region_name
1,Pallavi Vyas,M,28,Chandigarh,Punjab,2023-11-28,East
2,Deepti Kashyap,F,56,Gaya,Bihar,2022-03-30,West
3,Kritika Siddiqui,M,20,Cuttack,Odisha,2023-08-16,North
4,Sagar Kashyap,M,60,Muzaffarpur,Bihar,2022-05-27,Central
5,Manav Shah,F,21,Cuttack,Odisha,2022-03-07,East
6,Nikhil Chatterjee,M,65,Leh,Ladakh,2023-06-23,Central
7,Sonali Rai,M,42,Gwalior,Madhya Pradesh,2024-08-16,Central
8,Jaspreet Mishra,M,64,Gaya,Bihar,2024-10-22,South
9,Yuvraj Tripathi,M,56,Meerut,Uttar Pradesh,2024-09-27,North
10,Bhoomi Bhandari,F,22,Leh,Ladakh,2022-09-15,South
11,Vinay Mehta,M,33,Bhubaneswar,Odisha,2022-05-12,East
12,Manoj Basu,M,39,Vadodara,Gujarat,2024-11-18,South
13,Deepti Bhatia,F,40,Chandigarh,Punjab,2024-04-21,West
14,Naman Dev,M,52,Patiala,Punjab,2022-10-15,West
15,Dev Bansal,M,23,Rourkela,Odisha,2022-12-07,West
16,Parth Mahajan,F,27,Karimnagar,Telangana,2023-08-31,South
17,Trisha Naidu,M,21,Aizawl,Mizoram,2022-06-14,South
18,Naman Prasad,M,57,Rajkot,Gujarat,2024-05-08,Central
19,Preeti Tandon,M,18,Shimla,Himachal Pradesh,2022-07-24,North
20,Pankaj Chopra,F,52,Noida,Uttar Pradesh,2024-12-19,North
21,Nisha Goswami,M,63,Udaipur,Rajasthan,2023-02-21,East
22,Gauri Reddy,F,28,Ludhiana,Punjab,2024-05-25,Central
23,Ira Malhotra,M,20,Agra,Uttar Pradesh,2024-01-17,North
24,Jayant Verma,M,44,Thane,Maharashtra,2023-01-03,East
25,Tanisha Kaul,F,32,Bhubaneswar,Odisha,2022-02-18,South
26,Amrita Bhosale,F,29,Gaya,Bihar,2022-03-20,North
27,Aarav Nath,M,41,Amritsar,Punjab,2022-05-24,East
28,Gautam Dev,F,60,Gwalior,Madhya Pradesh,2022-12-23,Central
29,Rahul Modi,F,46,Howrah,West Bengal,2024-11-12,West
30,Manisha Vyas,M,27,Thane,Maharashtra,2022-04-05,South
31,Ira Saha,M,24,Chandigarh,Punjab,2023-03-25,South
32,Priya Tandon,F,57,Panaji,Goa,2024-05-23,Central
33,Uma Rastogi,M,35,Ludhiana,Punjab,2022-06-08,East
34,Ishan Fernandes,F,62,Salem,Tamil Nadu,2023-03-15,North
35,Sana Mukherjee,M,40,Noida,Uttar Pradesh,2024-03-09,West
36,Sanjay Joshi,F,64,Trichy,Tamil Nadu,2024-08-15,South
37,Tanmay Deshmukh,M,34,Gwalior,Madhya Pradesh,2023-11-02,South
38,Aparna Kaul,M,59,Surat,Gujarat,2022-03-24,North
39,Gautam Mohanty,M,54,Howrah,West Bengal,2024-08-10,East
40,Prateek Pillai,F,43,Kolkata,West Bengal,2022-06-05,Central
41,Anjali Kaul,F,60,Bhopal,Madhya Pradesh,2022-05-22,Central
42,Suhana Dasgupta,F,57,Leh,Ladakh,2024-09-17,West
43,Sana Joshi,M,49,Meerut,Uttar Pradesh,2023-01-08,West
44,Omkar Patel,M,51,Karimnagar,Telangana,2022-06-25,South
45,Pooja Duggal,F,62,Puri,Odisha,2023-09-20,Central
46,Meera Bose,M,38,Udupi,Karnataka,2023-01-15,South
47,Manoj Kaur,M,37,New Delhi,Delhi,2024-12-29,South
48,Pankaj Mohanty,F,46,Udaipur,Rajasthan,2023-01-13,North
49,Prakash Bhandari,M,25,Dhanbad,Jharkhand,2023-04-08,Central
50,Madhav Gill,M,28,Rourkela,Odisha,2022-12-22,Central
51,Payal Bajpai,M,36,Kanpur,Uttar Pradesh,2024-07-18,North
52,Manisha Roy,M,35,Madurai,Tamil Nadu,2022-05-27,North
53,Prakash Shetty,F,35,Panaji,Goa,2024-10-08,West
54,Namrata Ali,M,32,Mumbai,Maharashtra,2023-07-06,Central
55,Suhana Reddy,F,23,Haridwar,Uttarakhand,2023-12-14,West
56,Seema Yadav,M,47,Gandhinagar,Gujarat,2023-10-07,East
57,Vinay Kaur,F,58,Ludhiana,Punjab,2022-04-16,South
58,Jaspreet Iyengar,M,53,Jamshedpur,Jharkhand,2022-07-10,South
59,Payal Nanda,F,44,Guwahati,Assam,2024-08-25,South
60,Veer Goenka,M,36,Noida,Uttar Pradesh,2024-09-29,South
61,Sandeep Fernandes,F,20,Prayagraj,Uttar Pradesh,2024-08-26,West
62,Vishal Mishra,M,64,Madurai,Tamil Nadu,2024-04-19,South
63,Rakesh Sen,F,38,Shillong,Meghalaya,2022-03-15,Central
64,Dev Thakur,M,46,Trichy,Tamil Nadu,2023-09-06,North
65,Sourabh Chaudhary,M,51,Jamshedpur,Jharkhand,2023-01-04,South
66,Himanshu Fernandes,F,58,Patna,Bihar,2024-07-30,East
67,Avani Menon,F,55,Noida,Uttar Pradesh,2024-05-18,East
68,Pooja Shetty,F,19,Bilaspur,Chhattisgarh,2023-07-17,North
69,Rishi Duggal,M,57,Patna,Bihar,2022-10-08,North
70,Gauri Bhat,F,38,Dhanbad,Jharkhand,2022-12-26,South
71,Ujjwal Vyas,F,65,Udaipur,Rajasthan,2022-08-24,West
72,Saanvi Bhat,F,18,Gaya,Bihar,2022-09-11,West
73,Raj Rana,M,59,Surat,Gujarat,2024-08-08,East
74,Harini Khatri,F,41,Srinagar,Jammu & Kashmir,2024-05-08,Central
75,Shreya Gopal,M,62,Bhopal,Madhya Pradesh,2023-03-21,West
76,Krishna Bose,F,23,Howrah,West Bengal,2022-02-13,North
77,Ira Tyagi,M,35,Madurai,Tamil Nadu,2022-09-24,Central
78,Kajal Gill,M,26,Dhanbad,Jharkhand,2024-12-13,North
79,Suraj Naidu,M,57,Nagpur,Maharashtra,2024-12-03,East
80,Bhoomi Jadhav,M,22,Chennai,Tamil Nadu,2023-07-18,Central
81,Sourabh Mehta,M,44,Udaipur,Rajasthan,2024-07-17,West
82,Deepak Bhandari,M,45,Bengaluru,Karnataka,2024-02-03,South
83,Aparna Goswami,F,40,Mysuru,Karnataka,2024-11-05,South
84,Esha Thakur,F,54,Bhubaneswar,Odisha,2024-05-28,Central
85,Rhea Agarwal,M,27,Ranchi,Jharkhand,2022-05-23,South
86,Ravi Chopra,F,37,Meerut,Uttar Pradesh,2022-06-23,North
87,Sunil Saini,F,49,Ludhiana,Punjab,2024-04-28,East
88,Uma Pachauri,F,20,Bhubaneswar,Odisha,2024-03-20,Central
89,Payal Jadhav,M,18,Agartala,Tripura,2024-05-31,South
90,Avani Kohli,M,45,Mumbai,Maharashtra,2024-07-30,North
91,Kabir Verma,F,62,Indore,Madhya Pradesh,2022-06-30,West
92,Prateek Swamy,F,32,Jaipur,Rajasthan,2022-12-11,North
93,Devanshi Chaudhary,F,30,Hyderabad,Telangana,2022-11-10,North
94,Rahul Rastogi,F,27,Ludhiana,Punjab,2022-05-20,West
95,Anil Barua,F,36,Vadodara,Gujarat,2022-07-04,Central
96,Suraj Bhattacharya,F,63,Rajkot,Gujarat,2024-10-30,South
97,Jaspreet Kaur,F,36,Raipur,Chhattisgarh,2024-04-17,East
98,Pankaj Ghosh,M,39,Rajkot,Gujarat,2022-10-17,East
99,Deepak Roy,F,50,Indore,Madhya Pradesh,2022-02-07,East
100,Pooja Tyagi,M,50,Srinagar,Jammu & Kashmir,2024-12-14,North
101,Shruti Kaur,M,46,Kanpur,Uttar Pradesh,2024-07-08,South
102,Sumit Modi,F,42,Panaji,Goa,2024-12-16,West
103,Sakshi Parmar,M,63,Imphal,Manipur,2022-09-13,East
104,Deepak Duggal,F,40,Thane,Maharashtra,2024-04-29,North
105,Ira Chatterjee,M,36,Haridwar,Uttarakhand,2022-10-12,West
106,Sonali Bhosale,F,33,Noida,Uttar Pradesh,2022-09-07,North
107,Yash Ahuja,M,63,Madurai,Tamil Nadu,2023-08-20,West
108,Rohit Basu,M,42,Haridwar,Uttarakhand,2022-03-31,West
109,Ramesh Chatterjee,M,40,Srinagar,Jammu & Kashmir,2023-11-25,South
110,Ansh Varma,M,20,Prayagraj,Uttar Pradesh,2023-09-28,Central
111,Nisha Bose,F,45,Ranchi,Jharkhand,2024-06-19,West
112,Sourabh Rajput,M,52,Varanasi,Uttar Pradesh,2023-10-20,North
113,Soumya Das,F,40,Patiala,Punjab,2022-03-28,East
114,Sumit Bajpai,M,22,Rourkela,Odisha,2024-01-21,East
115,Harsh Pachauri,F,43,Prayagraj,Uttar Pradesh,2023-07-25,South
116,Farhan Gill,F,63,Patiala,Punjab,2023-03-16,Central
117,Priya Saxena,F,63,Surat,Gujarat,2023-08-18,East
118,Lavanya Varma,M,33,Agartala,Tripura,2022-02-23,East
119,Shruti Thomas,F,54,Vadodara,Gujarat,2022-09-14,East
120,Karan Thomas,M,45,Panaji,Goa,2022-04-24,North
121,Vinay Goswami,M,34,Kolkata,West Bengal,2023-07-17,South
122,Amrita Bhandari,M,59,Gaya,Bihar,2023-03-08,Central
123,Swati Bedi,M,28,Ludhiana,Punjab,2024-05-01,West
124,Vikram Patel,M,38,Rourkela,Odisha,2024-08-13,North
125,Jaspreet Yadav,F,54,Prayagraj,Uttar Pradesh,2023-01-24,South
126,Mala Prasad,F,21,Nashik,Maharashtra,2023-07-31,West
127,Saanvi Banerjee,F,21,Karimnagar,Telangana,2024-01-13,Central
128,Sakshi Varma,F,53,Indore,Madhya Pradesh,2022-10-23,South
129,Vikram Chatterjee,F,57,Prayagraj,Uttar Pradesh,2022-11-29,West
130,Simran Prasad,F,64,Thane,Maharashtra,2024-08-29,East
131,Sana Chaudhary,M,20,Mangalore,Karnataka,2023-01-26,North
132,Vinay Dube,F,60,Guwahati,Assam,2024-12-12,West
133,Naman Gopal,F,32,Noida,Uttar Pradesh,2023-08-15,South
134,Sarika Yadav,F,27,Varanasi,Uttar Pradesh,2022-03-28,East
135,Madhav Dey,F,53,Muzaffarpur,Bihar,2022-10-09,North
136,Dev Kumar,F,63,Haridwar,Uttarakhand,2022-07-25,South
137,Rahul Goswami,M,23,Cuttack,Odisha,2024-12-31,North
138,Kavita Swamy,F,20,New Delhi,Delhi,2023-09-04,Central
