emp_id,emp_name,role,salary,dept_id,store_id
1,Aparna Gill,Sales Executive,58499,4,127
2,Farhan Kashyap,Cashier,29540,3,196
3,Nikita Mishra,Data Analyst,48503,1,132
4,Ishan Patel,Sales Executive,60485,3,108
5,Chitra Mehta,Cashier,111918,4,171
6,Prateek Mukherjee,Data Analyst,40304,1,94
7,Ravi Dasgupta,Assistant Manager,43697,6,196
8,Jayant Deshmukh,Assistant Manager,19905,4,177
9,Priya Bhat,Customer Service Rep,73139,3,52
10,Lokesh Mahajan,Store Manager,75317,6,197
11,Dev Verma,Finance Executive,93779,6,49
12,Sapna Bhandari,Data Analyst,42087,5,184
13,Akanksha Roy,Cashier,79713,1,140
14,Pooja Nambiar,Customer Service Rep,50905,6,64
15,Devanshi Malhotra,Marketing Associate,22110,4,37
16,Advika Malhotra,Marketing Associate,40801,3,189
17,Rishi Chopra,Sales Executive,117960,1,46
18,Vaibhav Pillai,Inventory Clerk,39819,4,85
19,Muskan Subramanian,Inventory Clerk,69019,4,1
20,Lokesh Mehta,Sales Executive,69583,3,9
21,Nikhil Zaveri,Customer Service Rep,107287,2,135
22,Preeti Bedi,Cashier,45924,6,8
23,Anjali Ali,Marketing Associate,62008,1,77
24,Urvi Subramanian,Customer Service Rep,99221,3,29
25,Tanmay Patel,Store Manager,88610,1,165
26,Lokesh Shetty,Cashier,114161,1,162
27,Suraj Parmar,HR Executive,45867,2,18
28,Omkar Shah,Customer Service Rep,73270,3,99
29,Pankaj Tandon,Finance Executive,22655,2,166
30,Sanjay Raghavan,Assistant Manager,113480,2,80
31,Manisha Gill,Store Manager,111837,4,90
32,Lavanya Varma,HR Executive,42681,2,92
33,Arya Goenka,HR Executive,97061,1,179
34,Soumya Ahuja,Assistant Manager,23503,1,171
35,Vikram Khatri,Data Analyst,75112,1,191
36,Madhav Dube,Finance Executive,34696,3,123
37,Ira Verma,Marketing Associate,35972,6,69
38,Sagar Mehta,HR Executive,24571,1,52
39,Shreya Khan,Customer Service Rep,33317,1,93
40,Deepak Nair,Customer Service Rep,80613,5,181
41,Pranav Dev,Store Manager,36267,3,83
42,Gautam Joshi,Inventory Clerk,25437,3,31
43,Lokesh Shetty,HR Executive,24021,4,113
44,Swati Pandey,Cashier,34540,4,102
45,Rishi Yadav,HR Executive,104548,1,194
46,Vineet Dubey,Data Analyst,90554,5,56
47,Sourabh Ganguly,HR Executive,68927,1,160
48,Ashish Bhatia,Data Analyst,72644,4,48
49,Neeraj Mishra,Inventory Clerk,57951,3,105
50,Prakash Bhat,Cashier,105267,1,83
51,Ujjwal Menon,HR Executive,112761,1,82
52,Sarika Nambiar,Cashier,72540,2,195
53,Bhoomi Khatri,Assistant Manager,38252,3,127
54,Sameer Goswami,Store Manager,65660,3,30
55,Deepak Pandey,Sales Executive,116313,2,7
56,Karan Kaul,Sales Executive,24333,5,13
57,Raj Rai,Data Analyst,22613,5,22
58,Sakshi Gopal,Cashier,57890,1,115
59,Jahnavi Panda,Assistant Manager,73557,3,105
60,Swati Yadav,Sales Executive,35708,2,63
61,Abhinav Mukherjee,Data Analyst,23814,1,128
