address_id,customer_id,address_line,city,state,pincode,is_default
1,1,"H.No. 702
Bhattacharyya",Puri,Odisha,961295,True
2,2,"73, Deep Ganj",Noida,Uttar Pradesh,783840,True
3,3,"910
Chander Path",Shillong,Meghalaya,142990,True
4,4,"H.No. 74, Doshi Nagar",Gandhinagar,Gujarat,943108,True
5,5,"95
Bandi Street",Meerut,Uttar Pradesh,933017,True
6,6,"79/522
Ratta Ganj",Jaipur,Rajasthan,024164,True
7,7,"23
Patil Marg",Vadodara,Gujarat,199590,True
8,8,"92
Chana",Kolkata,West Bengal,867681,True
9,9,"21
Hayre Nagar",Muzaffarpur,Bihar,873523,True
10,10,"H.No. 579
Rai",Meerut,Uttar Pradesh,437224,True
11,11,"H.No. 853, Kashyap Nagar",Gandhinagar,Gujarat,870070,True
12,12,"H.No. 79
Jain Nagar",Aizawl,Mizoram,976114,True
13,13,"554
Minhas Marg",Delhi,Delhi,061406,True
14,14,"27/611
Gala Nagar",Shillong,Meghalaya,470451,True
15,15,"31/10, Raj",Dhanbad,Jharkhand,357452,True
16,16,"H.No. 071
Prakash Zila",Rajkot,Gujarat,101411,True
17,17,"73/824
Wason",Agartala,Tripura,535535,True
18,18,"252, Nagi Circle",Shillong,Meghalaya,732168,True
19,19,"95/63, Choudhry Nagar",Dhanbad,Jharkhand,069794,True
20,20,"H.No. 24
Varughese Street",Panaji,Goa,227351,True
21,21,"H.No. 968
Wali Path",Pune,Maharashtra,279881,True
22,22,"083, Bath Circle",Ahmedabad,Gujarat,063991,True
23,23,"H.No. 87
Halder Circle",Mumbai,Maharashtra,360025,True
24,24,"25, Kala Marg",Coimbatore,Tamil Nadu,457092,True
25,25,"62
Murty Path",Udaipur,Rajasthan,102243,True
26,26,"H.No. 04, Vora Marg",Salem,Tamil Nadu,795204,True
27,27,"H.No. 33
Dhawan Zila",Chennai,Tamil Nadu,266209,True
28,28,"H.No. 447, Sarkar Circle",Madurai,Tamil Nadu,065527,True
29,29,"182
Padmanabhan Nagar",Amritsar,Punjab,494926,True
30,30,"962, Kala Path",Jamshedpur,Jharkhand,166046,True
31,31,"H.No. 62, D’Alia Path",Gaya,Bihar,007298,True
32,32,"52, Pingle Path",Shillong,Meghalaya,805697,True
33,33,"24, Manda Zila",Aizawl,Mizoram,883230,True
34,34,"62, Dave Zila",Dhanbad,Jharkhand,336739,True
35,35,"H.No. 44
Balasubramanian Path",Agra,Uttar Pradesh,084901,True
36,36,"H.No. 998, Sehgal Path",Salem,Tamil Nadu,199257,True
37,37,"02/42, Grover Chowk",Noida,Uttar Pradesh,027176,True
38,38,"26, Kapoor Zila",Chandigarh,Punjab,238191,True
39,39,"75/46, Sood Road",Meerut,Uttar Pradesh,390389,True
40,40,"H.No. 957, Keer Ganj",Dhanbad,Jharkhand,321797,True
41,41,"26/36
Naik",Kanpur,Uttar Pradesh,881865,True
42,42,"997, Datta Path",Udaipur,Rajasthan,336560,True
43,43,"13/475, Murty Marg",Dhanbad,Jharkhand,717771,True
44,44,"565, Krishnan Circle",Nashik,Maharashtra,784190,True
45,45,"40/98, Badami Marg",Delhi,Delhi,603409,True
46,46,"465
Dass Chowk",Surat,Gujarat,682021,True
47,47,"06/53, Nagi Chowk",Prayagraj,Uttar Pradesh,285508,True
48,48,"87/217, Khare Chowk",Kota,Rajasthan,299588,True
49,49,"50, Raghavan Marg",Srinagar,Jammu & Kashmir,731031,True
50,50,"94, Deshmukh Street",Mysuru,Karnataka,326515,True
51,51,"02/00
Som Path",Bhopal,Madhya Pradesh,439453,True
52,52,"H.No. 05
Pradhan Chowk",Prayagraj,Uttar Pradesh,545983,True
53,53,"20/318, Korpal Circle",Dhanbad,Jharkhand,575638,True
54,54,"80, Rana Circle",Thane,Maharashtra,210473,True
55,55,"H.No. 424, Sule Zila",Nagpur,Maharashtra,220955,True
56,56,"38/58, Rastogi Nagar",Guwahati,Assam,639507,True
57,57,"99/16
Sarin Marg",New Delhi,Delhi,256852,True
58,58,"H.No. 51, Bath Ganj",Amritsar,Punjab,084439,True
59,59,"01
Rajagopalan Chowk",Ranchi,Jharkhand,471419,True
60,60,"H.No. 55
Goswami Ganj",Gwalior,Madhya Pradesh,422327,True
61,61,"H.No. 174, Kashyap Street",Kota,Rajasthan,047132,True
62,62,"H.No. 73, Puri Path",Ludhiana,Punjab,623375,True
63,63,"721, Menon Marg",Panaji,Goa,688220,True
64,64,"H.No. 853
Jaggi Ganj",Erode,Tamil Nadu,426627,True
65,65,"01/583, Bajwa Chowk",Kota,Rajasthan,664645,True
66,66,"16/812
Deshmukh Path",Mysuru,Karnataka,913492,True
67,67,"85
Rao Circle",Karimnagar,Telangana,669378,True
68,68,"08/824
Gola Street",Bhubaneswar,Odisha,510561,True
69,69,"H.No. 971
Kala Road",Gaya,Bihar,559075,True
70,70,"23
Bala",Rajkot,Gujarat,566078,True
71,71,"82/820, Arora Road",Jamshedpur,Jharkhand,292102,True
72,72,"H.No. 782, Nagy Chowk",Leh,Ladakh,969235,True
73,73,"H.No. 49, Brahmbhatt Nagar",Meerut,Uttar Pradesh,017465,True
74,74,"82/99, Madan Nagar",Kolkata,West Bengal,208594,True
75,75,"52/166
Joshi Ganj",Srinagar,Jammu & Kashmir,796900,True
76,76,"08/162
Lalla Ganj",Srinagar,Jammu & Kashmir,104882,True
77,77,"H.No. 59, Toor Ganj",Madurai,Tamil Nadu,886278,True
78,78,"15/05, Minhas Road",Panaji,Goa,057891,True
79,79,"24
Chauhan Nagar",Nagpur,Maharashtra,883998,True
80,80,"181, Dixit Circle",Aizawl,Mizoram,761444,True
81,81,"81/014
Ramakrishnan Path",Hyderabad,Telangana,053688,True
82,82,"H.No. 033
Krish Chowk",Bengaluru,Karnataka,240926,True
83,83,"105
Buch Marg",Patna,Bihar,696539,True
84,84,"28/606, Yogi Ganj",Udupi,Karnataka,729157,True
85,85,"672
Jayaraman Street",Amritsar,Punjab,457067,True
86,86,"43
Sekhon",Imphal,Manipur,078814,True
87,87,"72/674
Chana Chowk",Panaji,Goa,990486,True
88,88,"005, Dani Street",Indore,Madhya Pradesh,977909,True
89,89,"04, Rajagopalan Marg",Leh,Ladakh,827795,True
90,90,"32
Kashyap Marg",Leh,Ladakh,105763,True
91,91,"H.No. 755, Chowdhury Zila",Bhubaneswar,Odisha,747513,True
92,92,"43/78
Pal",Patiala,Punjab,937160,True
93,93,"06/967, Sahota Marg",Amritsar,Punjab,258653,True
94,94,"H.No. 68, Mangat Path",Howrah,West Bengal,036060,True
95,95,"556
Bhasin Zila",Jamshedpur,Jharkhand,603011,True
96,96,"H.No. 936
Warrior Zila",Shimla,Himachal Pradesh,628235,True
97,97,"H.No. 71
Yohannan Nagar",Erode,Tamil Nadu,233684,True
98,98,"H.No. 606
Kanda Road",Rourkela,Odisha,947284,True
99,99,"44/43, Mahal Chowk",Prayagraj,Uttar Pradesh,968538,True
100,100,"74/72
Gour Chowk",Howrah,West Bengal,276141,True
101,101,"507
Dora Marg",Bengaluru,Karnataka,920577,True
102,102,"12/821
Parikh Road",Shillong,Meghalaya,735244,True
103,103,"75/00, Bala Circle",Salem,Tamil Nadu,826909,True
104,104,"H.No. 239, Ranganathan Nagar",Vadodara,Gujarat,105547,True
105,105,"H.No. 002
Halder Ganj",Rourkela,Odisha,664989,True
106,106,"16/95
Chander Path",Vadodara,Gujarat,538220,True
107,107,"50
Patil",Surat,Gujarat,637172,True
108,108,"789
Lalla Ganj",New Delhi,Delhi,601461,True
109,109,"H.No. 11, Nori Marg",Patiala,Punjab,438123,True
110,110,"448
Varughese Chowk",Patiala,Punjab,177299,True
111,111,"75/983
Sarkar Zila",Nashik,Maharashtra,663523,True
112,112,"62/435
Dey Path",Rajkot,Gujarat,465899,True
113,113,"60, Tandon Circle",Rourkela,Odisha,064181,True
114,114,"H.No. 32
Contractor Ganj",Rajkot,Gujarat,655652,True
115,115,"H.No. 30
Bhakta Nagar",Ahmedabad,Gujarat,677252,True
116,116,"94/088, Murty Zila",Surat,Gujarat,115498,True
117,117,"39/079, Hayer Marg",Puri,Odisha,104320,True
118,118,"26/50
Natt Path",Patna,Bihar,087479,True
119,119,"17/268
Luthra Circle",Madurai,Tamil Nadu,867273,True
120,120,"37, Bahri Nagar",Patna,Bihar,021393,True
121,121,"44/75
Pathak Ganj",Port Blair,Andaman and Nicobar Islands,044951,True
122,122,"59/654, Shere Street",Patna,Bihar,880816,True
123,123,"89
Pal Marg",Amritsar,Punjab,980843,True
124,124,"H.No. 02
Ratta Zila",Ahmedabad,Gujarat,058073,True
125,125,"36
Mallick Marg",Warangal,Telangana,721064,True
126,126,"71/709, Jayaraman Ganj",Kolkata,West Bengal,592200,True
127,127,"71/897, Bhargava Ganj",Panaji,Goa,852250,True
128,128,"512, Chadha Ganj",Salem,Tamil Nadu,030757,True
129,129,"H.No. 431
Sangha Ganj",Patna,Bihar,287326,True
130,130,"84, Biswas Chowk",Prayagraj,Uttar Pradesh,100576,True
131,131,"H.No. 85, Anne Zila",Erode,Tamil Nadu,759486,True
132,132,"H.No. 329
Yogi Marg",Coimbatore,Tamil Nadu,838270,True
133,133,"88/52
Kapoor Zila",Cuttack,Odisha,811368,True
134,134,"90/51, Seshadri Nagar",Jamshedpur,Jharkhand,545279,True
135,135,"H.No. 772
Swamy Chowk",Amritsar,Punjab,293755,True
136,136,"H.No. 618, Bhakta Chowk",New Delhi,Delhi,800371,True
137,137,"80, Om Circle",Nashik,Maharashtra,377100,True
138,138,"H.No. 760
Uppal Circle",Jaipur,Rajasthan,124268,True
139,139,"490, Mallick Chowk",Kota,Rajasthan,393263,True
140,140,"77
Zachariah Marg",Jaipur,Rajasthan,257149,True
141,141,"312, Pandya Marg",Bhopal,Madhya Pradesh,974059,True
142,142,"67
Ratti",Kolkata,West Bengal,994243,True
143,143,"38/17
Solanki",Guwahati,Assam,107600,True
144,144,"474, Vala Circle",Agra,Uttar Pradesh,044763,True
145,145,"56, Murthy Marg",Panaji,Goa,137933,True
146,146,"46/05
Lata Street",Amritsar,Punjab,973265,True
147,147,"H.No. 22, Varkey Chowk",Cuttack,Odisha,493981,True
148,148,"H.No. 037
Anne Marg",Delhi,Delhi,514523,True
149,149,"H.No. 749, Puri Ganj",Prayagraj,Uttar Pradesh,234169,True
150,150,"H.No. 39, Goda Nagar",Chandigarh,Punjab,142018,True
151,151,"43/679, Chandra Road",Port Blair,Andaman and Nicobar Islands,640616,True
152,152,"52/303
Sheth Marg",Aizawl,Mizoram,067727,True
153,153,"18
Raju Chowk",Salem,Tamil Nadu,213885,True
154,154,"H.No. 73
Mahal",Gandhinagar,Gujarat,999229,True
155,155,"98/28
Kant Marg",Amritsar,Punjab,254068,True
156,156,"66/89
Badal Circle",Imphal,Manipur,614573,True
157,157,"83/53
Pau Zila",New Delhi,Delhi,907391,True
158,158,"65/05, Brar Ganj",Leh,Ladakh,383086,True
159,159,"H.No. 06, Ratta Marg",Bengaluru,Karnataka,842300,True
160,160,"05/81, Choudhry Path",Kanpur,Uttar Pradesh,707812,True
161,161,"89, Choudhry Chowk",Gwalior,Madhya Pradesh,272588,True
162,162,"H.No. 377, Amble Chowk",Meerut,Uttar Pradesh,240499,True
163,163,"H.No. 098, Chaudhuri Zila",Vadodara,Gujarat,460349,True
164,164,"95/590, Kala Path",Delhi,Delhi,579689,True
165,165,"05/17
Kamdar Chowk",Surat,Gujarat,106847,True
166,166,"H.No. 479, Chanda Zila",Jamshedpur,Jharkhand,100579,True
167,167,"41/96, Sur Nagar",Dehradun,Uttarakhand,982940,True
168,168,"29/399
Anand Road",Trichy,Tamil Nadu,926512,True
169,169,"51
Som Chowk",Erode,Tamil Nadu,595041,True
170,170,"H.No. 97, Raman Path",Madurai,Tamil Nadu,633276,True
171,171,"76, Halder Zila",Guwahati,Assam,605595,True
172,172,"94
Nadkarni Ganj",Karimnagar,Telangana,678059,True
173,173,"41/39
Gupta Path",Dehradun,Uttarakhand,802741,True
174,174,"53/82, Oommen Street",Siliguri,West Bengal,187916,True
175,175,"49/438
Patla",Amritsar,Punjab,631385,True
176,176,"H.No. 12
Setty Path",Shillong,Meghalaya,957230,True
