employee_id,store_id,first_name,last_name,email,role,dept_id,joining_date,salary
1,80,Abhiram,Ben,abhiram.ben@retailmart.com,Visual Merchandiser,4,2025-08-16,48949
2,65,Ekaraj,Naik,ekaraj.naik@retailmart.com,Logistics Coordinator,8,2024-11-17,44465
3,98,Bhavna,Ray,bhavna.ray@retailmart.com,Store Associate,3,2025-01-27,27845
4,30,Ishwar,Borde,ishwar.borde@retailmart.com,Customer Service Rep,1,2025-10-12,20028
5,3,Vasana,Bhat,vasana.bhat@retailmart.com,Inventory Clerk,4,2024-12-14,32627
6,48,Balendra,Borah,balendra.borah@retailmart.com,Security Supervisor,2,2022-06-04,21867
7,66,Devika,Lall,devika.lall@retailmart.com,Security Supervisor,2,2024-07-05,22184
8,145,Gauri,Rajagopalan,gauri.rajagopalan@retailmart.com,Security Supervisor,4,2022-09-28,37277
9,118,Vasudha,Agarwal,vasudha.agarwal@retailmart.com,Store Associate,7,2025-11-11,17268
10,6,Rishi,Dixit,rishi.dixit@retailmart.com,Maintenance Staff,9,2025-06-04,13868
11,109,Jasmit,Dugar,jasmit.dugar@retailmart.com,Security Supervisor,6,2025-08-22,33181
12,104,Jacob,Sodhi,jacob.sodhi@retailmart.com,Data Engineer,6,2024-03-14,185830
13,99,Jai,Bassi,jai.bassi@retailmart.com,Visual Merchandiser,7,2022-07-08,52476
14,1,Aditya,Munshi,aditya.munshi@retailmart.com,Assistant Manager,3,2024-12-20,62356
15,56,Wriddhish,Lal,wriddhish.lal@retailmart.com,Cashier,2,2024-10-26,18961
16,78,Faraj,Khanna,faraj.khanna@retailmart.com,Regional Manager,7,2024-10-17,183555
17,30,Sara,Sethi,sara.sethi@retailmart.com,Store Associate,5,2023-05-17,23152
18,143,Tanvi,Arya,tanvi.arya@retailmart.com,Store Manager,3,2025-06-23,108576
19,64,Lohit,Subramaniam,lohit.subramaniam@retailmart.com,Customer Service Rep,3,2026-01-05,27364
20,191,Fiyaz,Mangat,fiyaz.mangat@retailmart.com,Logistics Coordinator,7,2021-11-15,69344
21,86,Lucky,Char,lucky.char@retailmart.com,Security Supervisor,5,2025-08-04,21000
22,169,Rajata,Bhasin,rajata.bhasin@retailmart.com,Regional Manager,5,2023-12-19,198222
23,185,Widisha,Purohit,widisha.purohit@retailmart.com,Inventory Clerk,5,2026-02-11,26583
24,50,Jyoti,Ghosh,jyoti.ghosh@retailmart.com,Store Manager,8,2025-07-23,104811
25,75,Yash,Nair,yash.nair@retailmart.com,Data Analyst,6,2023-05-07,106831
26,167,Frederick,Goel,frederick.goel@retailmart.com,Security Supervisor,8,2025-03-28,37878
27,167,Thomas,Walia,thomas.walia@retailmart.com,Data Analyst,7,2025-09-01,132408
28,79,Gautam,Datta,gautam.datta@retailmart.com,Store Associate,7,2024-04-08,28537
29,192,Bahadurjit,Lal,bahadurjit.lal@retailmart.com,Logistics Coordinator,8,2025-08-19,58576
30,79,Prisha,Sane,prisha.sane@retailmart.com,Inventory Clerk,9,2025-11-25,34864
31,152,Omisha,Krishna,omisha.krishna@retailmart.com,Customer Service Rep,4,2023-09-06,20447
32,68,Rohan,Lad,rohan.lad@retailmart.com,Customer Service Rep,9,2024-10-02,31604
33,116,Ekantika,Wable,ekantika.wable@retailmart.com,Maintenance Staff,10,2024-07-08,16366
34,1,Gagan,Sibal,gagan.sibal@retailmart.com,Data Engineer,5,2025-01-23,109222
35,137,Avni,Padmanabhan,avni.padmanabhan@retailmart.com,Assistant Manager,1,2022-12-17,57593
36,72,Sai,Purohit,sai.purohit@retailmart.com,Store Associate,3,2024-12-21,27088
37,95,Akshay,Dugar,akshay.dugar@retailmart.com,Customer Service Rep,8,2022-04-28,23514
38,30,Sarthak,Bala,sarthak.bala@retailmart.com,Assistant Manager,8,2022-11-05,56811
39,67,Matthew,Singhal,matthew.singhal@retailmart.com,Inventory Clerk,7,2025-06-09,25668
40,12,Charan,Krish,charan.krish@retailmart.com,Security Supervisor,10,2026-01-13,38506
41,99,Indali,Narayanan,indali.narayanan@retailmart.com,Marketing Associate,9,2025-07-28,39919
42,110,Aayush,Karnik,aayush.karnik@retailmart.com,Store Manager,8,2025-01-17,122508
43,160,Ati,Chanda,ati.chanda@retailmart.com,Inventory Clerk,7,2025-05-19,27877
44,73,Vanya,Samra,vanya.samra@retailmart.com,Data Engineer,9,2025-06-10,144200
45,88,Yuvraj,Dhar,yuvraj.dhar@retailmart.com,Assistant Manager,7,2024-11-21,75577
46,144,Anvi,Rana,anvi.rana@retailmart.com,Marketing Associate,3,2025-10-20,24471
47,74,Tanmayi,Karan,tanmayi.karan@retailmart.com,Finance Executive,1,2025-04-23,55075
48,24,Lavanya,Cherian,lavanya.cherian@retailmart.com,Data Analyst,6,2026-01-30,89358
49,195,Balvan,Kibe,balvan.kibe@retailmart.com,Marketing Associate,8,2023-05-26,49133
50,176,Megha,Krishnamurthy,megha.krishnamurthy@retailmart.com,Data Analyst,5,2025-11-06,94042
51,185,Lipika,Khurana,lipika.khurana@retailmart.com,Marketing Associate,1,2025-05-06,31937
52,69,Zilmil,Sandal,zilmil.sandal@retailmart.com,Store Associate,2,2023-03-06,28225
53,17,William,Ben,william.ben@retailmart.com,Store Associate,8,2025-07-22,17858
54,158,Kashish,Aurora,kashish.aurora@retailmart.com,Data Engineer,2,2024-11-01,126279
55,9,Yauvani,Mani,yauvani.mani@retailmart.com,Data Engineer,6,2025-12-06,210453
56,74,Aradhana,Dass,aradhana.dass@retailmart.com,Inventory Clerk,5,2026-02-20,19411
57,14,Dev,Comar,dev.comar@retailmart.com,Cashier,10,2025-06-28,20370
58,86,Zarna,Kota,zarna.kota@retailmart.com,Regional Manager,5,2022-09-27,174990
59,146,Damini,Warrior,damini.warrior@retailmart.com,Marketing Associate,3,2025-06-29,29358
60,53,Zaid,Subramanian,zaid.subramanian@retailmart.com,Visual Merchandiser,9,2025-09-01,36799
61,4,Tara,Sha,tara.sha@retailmart.com,Sales Executive,2,2023-01-29,46376
62,188,Oliver,Kalita,oliver.kalita@retailmart.com,Finance Executive,4,2025-01-17,43209
63,100,Mahika,Sahni,mahika.sahni@retailmart.com,HR Executive,6,2025-04-22,62840
64,65,Manthan,Sule,manthan.sule@retailmart.com,Data Engineer,2,2025-02-12,189812
65,192,Vasana,Dash,vasana.dash@retailmart.com,Store Associate,7,2023-04-11,22952
66,15,Matthew,Khosla,matthew.khosla@retailmart.com,Visual Merchandiser,1,2025-05-13,39705
67,34,Warinder,Guha,warinder.guha@retailmart.com,Marketing Associate,2,2025-01-19,32789
68,106,Zaid,Naik,zaid.naik@retailmart.com,Store Associate,2,2026-01-28,29307
69,1,Dalaja,Butala,dalaja.butala@retailmart.com,Store Manager,10,2025-12-15,109506
70,169,Leela,Pingle,leela.pingle@retailmart.com,Regional Manager,7,2022-10-23,230932
71,196,Anamika,Bhatnagar,anamika.bhatnagar@retailmart.com,Security Supervisor,9,2025-01-04,23958
72,34,Chandresh,Garg,chandresh.garg@retailmart.com,Security Supervisor,2,2024-02-19,35485
73,116,Anmol,Nagy,anmol.nagy@retailmart.com,Data Analyst,4,2023-03-25,77880
74,32,Yagnesh,Dar,yagnesh.dar@retailmart.com,Customer Service Rep,4,2024-06-29,40163
75,24,Yashodhara,Saxena,yashodhara.saxena@retailmart.com,Marketing Associate,4,2026-01-04,36400
76,20,Madhav,Aurora,madhav.aurora@retailmart.com,Store Manager,9,2023-04-14,130503
77,194,Yahvi,Seth,yahvi.seth@retailmart.com,Customer Service Rep,2,2024-10-21,34748
78,176,Yoshita,Dugal,yoshita.dugal@retailmart.com,HR Executive,4,2026-01-02,56791
79,110,Frederick,Ranganathan,frederick.ranganathan@retailmart.com,Finance Executive,1,2024-02-02,53840
80,145,Kala,Thaker,kala.thaker@retailmart.com,Data Engineer,2,2022-03-13,192565
81,54,Henry,Wadhwa,henry.wadhwa@retailmart.com,Data Engineer,2,2023-06-29,161044
82,148,Chandran,Hayre,chandran.hayre@retailmart.com,Customer Service Rep,2,2022-03-18,20196
83,115,Yug,Pandya,yug.pandya@retailmart.com,Customer Service Rep,4,2021-08-17,44888
84,6,Pavani,Kannan,pavani.kannan@retailmart.com,Finance Executive,9,2025-03-30,57534
85,121,Hemangini,Chand,hemangini.chand@retailmart.com,Assistant Manager,2,2025-03-24,82907
86,27,Theodore,Sem,theodore.sem@retailmart.com,Data Analyst,2,2025-03-30,91880
87,70,Noah,Choudhary,noah.choudhary@retailmart.com,Marketing Associate,4,2025-10-10,23193
88,183,Anay,Sengupta,anay.sengupta@retailmart.com,Visual Merchandiser,5,2025-12-04,33348
89,34,Zaid,Lall,zaid.lall@retailmart.com,Assistant Manager,7,2024-11-05,76921
90,160,Dalaja,Walia,dalaja.walia@retailmart.com,Cashier,10,2024-08-21,16338
91,7,Eiravati,Srinivas,eiravati.srinivas@retailmart.com,Inventory Clerk,2,2024-03-18,27336
92,32,Kabir,Devan,kabir.devan@retailmart.com,Finance Executive,6,2025-06-07,76000
93,34,Niharika,Dhawan,niharika.dhawan@retailmart.com,Logistics Coordinator,2,2023-01-16,68368
94,198,Manan,Verma,manan.verma@retailmart.com,Marketing Associate,2,2024-02-24,39407
95,4,Pranit,Sharaf,pranit.sharaf@retailmart.com,Data Analyst,7,2024-11-14,62068
96,142,Fiyaz,Kamdar,fiyaz.kamdar@retailmart.com,Visual Merchandiser,7,2025-01-02,51899
97,141,Charvi,Soman,charvi.soman@retailmart.com,Sales Executive,10,2025-10-05,46894
98,82,Oliver,Vala,oliver.vala@retailmart.com,Inventory Clerk,7,2022-12-30,31183
99,24,Vamakshi,Sundaram,vamakshi.sundaram@retailmart.com,Finance Executive,3,2022-12-11,61385
100,95,Aayush,Chakraborty,aayush.chakraborty@retailmart.com,Data Analyst,5,2023-02-12,63963
101,156,Samesh,Virk,samesh.virk@retailmart.com,Customer Service Rep,1,2026-01-01,23959
